'Снесарев, Г.П.';'Хорезмские легенды как источник по истории религиозных культов Средней Азии';1983;'isawdca_000983.pdf'
'Хайруллаев, М.М., Бахадиров, Р.М.';'Абу Абдаллах ал-Хорезми, Х век';1988;'isawdca_000929.pdf'
